"# Ignition - P/T, no knock - meth failsafe triggered"
# Address: 0xA074
# Size: 16x16

0,0,0,0,0,50,120,156,157,161,193,193,193,193,193,225
0,0,0,0,0,60,130,156,157,161,193,193,193,193,193,225
23,29,32,69,80,114,145,162,165,173,197,197,197,197,197,219
20,37,53,74,97,112,134,154,166,170,189,189,189,189,189,221
20,55,88,104,114,127,137,154,166,170,189,189,189,189,189,221
20,90,112,122,120,129,149,157,166,170,189,189,189,189,189,221
20,94,114,114,122,142,150,157,164,170,188,188,188,188,192,220
20,97,117,118,127,147,157,161,166,172,188,188,188,188,191,219
23,98,120,123,131,150,164,168,179,182,193,193,193,193,194,220
23,99,122,126,134,152,165,173,183,190,199,199,199,196,204,224
23,101,126,132,142,158,171,180,187,201,210,208,206,203,209,234
23,100,127,133,147,166,172,182,194,204,219,219,219,216,221,243
23,96,121,125,144,162,165,182,196,210,225,225,225,224,227,246
23,92,117,118,140,152,157,177,198,217,230,230,230,230,235,245
23,90,114,114,129,137,148,175,199,223,229,229,229,229,234,241
23,90,114,114,124,128,141,166,196,224,230,228,228,228,234,242
