"# Ignition - P/T, no knock - race fuel"
# Address: 0xA424
# Size: 16x16

46,47,47,47,47,47,46,42,42,42,42,42,42,41,39,39
46,51,53,53,52,50,47,43,42,42,42,42,42,41,39,39
54,62,62,61,60,55,50,46,44,43,42,42,42,41,39,39
62,71,71,70,68,64,61,54,50,47,44,43,42,41,39,39
70,78,78,77,77,76,64,58,52,48,45,44,42,41,39,39
74,84,79,79,78,77,70,62,56,51,48,46,42,43,39,39
74,84,80,80,79,78,73,66,60,55,47,45,41,41,39,39
74,84,81,81,81,80,76,71,64,58,49,45,42,40,39,39
76,84,81,81,81,81,79,75,69,60,50,46,43,41,40,40
76,84,82,81,81,81,79,77,72,63,54,47,46,45,44,43
76,84,82,82,81,81,79,77,74,65,55,49,50,50,49,46
76,84,82,82,81,81,79,77,75,67,58,51,56,55,52,47
76,84,83,83,81,81,79,77,75,67,59,57,58,56,53,49
76,86,84,83,81,81,79,77,75,67,60,58,61,59,54,50
76,86,84,83,81,81,79,77,75,67,62,58,63,60,56,53
74,86,84,83,81,81,79,77,74,68,63,59,63,60,58,55
