"# Ignition - P/T, no knock"
# Address: 0x925F
# Size: 16x16

46,47,47,47,47,47,46,42,42,42,42,42,42,41,41,40
46,51,53,53,52,50,47,43,42,42,42,42,42,41,41,40
54,62,62,61,60,55,50,46,44,43,42,42,42,41,41,40
62,71,71,70,68,64,61,54,50,47,44,43,42,41,41,40
70,78,78,77,77,76,64,58,52,48,45,44,42,41,41,40
74,84,79,79,78,77,70,62,56,51,48,46,42,43,41,40
74,84,80,80,79,78,73,66,60,55,49,47,43,43,43,40
74,84,81,81,81,80,76,71,64,58,51,47,44,42,44,40
76,84,81,81,81,81,79,75,69,60,52,49,45,43,46,39
76,84,82,81,81,81,79,77,72,63,56,51,50,49,48,40
76,84,82,82,81,81,79,77,74,65,56,51,50,49,49,42
76,84,82,82,81,81,79,77,75,67,58,51,51,51,50,42
76,84,83,83,81,81,79,77,75,67,59,53,53,52,50,43
76,86,84,83,81,81,79,77,75,67,60,54,56,55,50,44
76,86,84,83,81,81,79,77,75,67,62,54,58,56,51,45
74,86,84,83,81,81,79,77,74,68,63,55,58,56,52,45
