# Warmup enrichment - Coolant x IAT
# Address: 0x8D9A
# Size: 6x6

166,160,155,152,149,148
125,117,109,103,99,96
84,72,59,51,47,43
63,53,49,37,36,29
28,24,20,17,13,11
0,0,0,0,0,0
