# MAP target
# Address: 0x2520
# Size: 10x16

91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91
98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98
105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105
111,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113
111,116,118,120,123,123,123,123,123,123,123,123,123,123,123,123
111,117,123,128,135,135,135,135,135,135,135,135,135,135,123,123
111,117,123,130,145,145,145,145,145,145,145,145,145,145,123,123
111,117,123,130,146,153,153,153,153,153,153,153,153,150,123,123
111,117,123,130,146,157,159,159,159,159,159,159,156,150,123,123
111,117,123,130,146,157,159,159,159,159,159,159,156,150,123,123
