# MAF low voltage correction
# Address: 0x8C3C
# Size: 12x12

128,128,128,128,128,128,128,128,128,128,128,128
128,128,128,128,128,128,128,128,128,128,128,128
128,128,128,128,128,128,128,128,128,128,128,128
102,128,243,255,192,170,141,136,128,128,128,128
102,102,102,102,102,205,168,151,128,128,128,128
102,102,102,102,102,227,184,165,141,128,128,128
102,102,102,102,102,242,195,177,148,128,128,128
102,102,102,102,102,255,214,188,156,128,128,128
102,102,102,102,102,102,219,198,163,128,128,128
102,102,102,102,102,102,228,205,164,128,128,128
102,102,102,102,102,102,230,207,169,128,128,128
102,102,102,102,102,102,237,218,192,128,128,128
