"# Ignition - P/T, no knock - race fuel"
# Address: 0xA424
# Size: 16x16

46,47,47,47,47,47,46,42,42,42,41,40,38,38,38,37
46,49,53,57,56,54,51,47,46,42,41,40,38,38,38,37
54,62,62,65,64,60,55,51,49,44,41,40,38,38,38,37
62,68,68,70,67,64,59,53,51,46,42,40,38,38,38,37
70,78,73,73,70,68,64,57,54,48,43,40,38,38,38,37
74,84,79,80,77,74,72,65,58,51,45,40,38,38,38,37
74,84,81,81,80,77,74,66,59,57,47,43,38,38,38,37
74,84,83,83,82,80,77,68,61,59,50,44,38,38,38,37
74,84,84,84,85,83,79,73,67,60,53,45,38,38,38,39
74,84,86,86,85,85,80,73,68,62,54,47,40,40,40,41
74,84,86,86,85,85,81,74,68,63,55,48,42,42,42,42
74,84,86,86,85,85,81,75,68,65,55,50,44,44,44,43
74,84,86,86,85,85,81,77,71,67,56,51,46,46,46,45
74,86,86,86,85,85,82,77,71,68,57,51,46,46,46,45
74,86,86,86,85,85,82,77,71,69,58,52,47,47,47,46
74,86,86,86,85,85,82,78,72,70,59,53,48,48,48,47
