"# Ignition - P/T, no knock - meth failsafe triggered"
# Address: 0xA074
# Size: 16x16

12,12,12,12,40,90,155,166,177,183,185,198,215,230,244,251
10,20,20,35,70,111,158,168,176,181,185,198,212,227,241,248
20,30,45,66,92,119,159,169,174,181,184,197,214,229,243,250
20,30,48,75,98,120,162,170,174,179,184,197,215,230,244,251
20,30,55,86,101,126,152,158,164,170,178,193,215,230,244,251
20,30,65,91,107,127,148,154,162,167,175,191,214,229,243,250
20,30,73,98,113,128,153,159,164,167,175,190,214,229,243,250
20,30,89,107,120,134,154,159,163,174,179,194,214,229,243,250
20,30,105,119,130,144,154,163,169,175,181,202,213,228,242,249
20,30,110,124,140,145,156,166,173,176,185,200,209,224,238,245
20,30,110,124,143,150,164,177,181,187,191,202,211,226,240,247
20,30,110,124,142,150,162,173,182,188,199,204,219,234,248,255
20,30,110,124,137,148,161,170,175,183,195,200,206,221,235,242
20,30,110,124,135,145,154,166,169,173,179,189,195,210,224,231
20,30,110,124,131,139,150,157,161,165,168,173,188,203,217,224
20,30,110,124,133,141,145,148,154,154,155,160,175,190,204,211
