"# Ignition - P/T, overrun"
# Address: 0x90A8
# Size: 16x16

49,49,49,47,47,47,47,43,43,42,42,42,42,42,42,42
37,37,37,37,37,43,48,44,43,43,42,42,42,42,42,42
30,30,30,30,31,34,37,44,46,45,43,42,42,42,42,42
6,6,6,6,6,6,37,46,48,46,44,42,42,42,42,42
6,6,6,6,6,6,30,48,49,46,44,42,41,41,41,41
13,13,13,13,13,30,50,54,54,49,46,44,41,41,40,40
23,23,23,23,37,57,64,64,61,55,50,47,45,43,40,40
25,25,25,25,50,66,66,66,65,59,55,51,49,47,43,40
34,34,34,50,57,66,66,66,66,60,57,54,51,49,43,39
53,53,53,54,61,66,66,66,69,63,60,57,55,52,48,39
57,57,57,57,66,67,66,66,71,65,64,60,58,56,52,43
83,83,83,83,74,68,66,70,73,68,67,63,60,58,53,43
83,83,83,83,75,69,68,70,74,71,67,64,61,58,53,43
83,83,79,77,74,69,67,70,74,71,67,64,62,58,51,46
81,81,77,73,73,71,68,70,74,70,66,64,62,58,50,46
78,78,75,71,70,70,70,70,74,70,66,63,59,54,49,46
