# Wall film enrichment (Coolant x RPM)
# Address: 0x8D66
# Size: 6x6

250,250,250,250,250,245
204,204,204,204,204,204
178,178,178,178,178,178
154,154,154,154,154,154
114,114,114,114,114,114
46,46,46,46,46,41
