"# Ignition - P/T, no knock (LPG)"
# Address: 0xA198
# Size: 16x16

0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2
2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
2,2,2,2,2,2,2,2,58,16,10,7,10,13,5,15
13,12,10,15,15,13,12,10,12,69,63,16,9,8,9,8
11,10,10,9,8,9,9,30,30,30,40,16,128,128,128,128
128,128,128,128,134,136,141,151,159,162,165,171,128,128,128,128
128,128,128,128,134,136,141,151,159,162,165,171,128,128,128,128
128,128,128,128,134,136,141,151,159,162,165,171,128,128,128,128
128,128,128,128,134,136,141,151,159,162,165,171,128,128,128,128
128,128,128,128,134,136,141,151,159,162,165,171,128,128,128,128
128,128,128,128,134,136,141,151,159,162,165,171,128,128,128,128
128,128,128,128,134,136,141,151,159,162,165,171,128,128,128,128
