# Ignition - Dwell
# Address: 0x950E
# Size: 12x7

11,9,8,8,7,6,6
20,18,14,12,11,9,8
21,19,15,13,12,10,9
20,18,17,15,13,11,10
20,17,16,14,13,13,11
26,23,22,20,20,19,16
45,41,38,36,34,32,27
77,70,65,61,59,54,46
108,100,92,88,84,77,68
140,128,119,113,109,97,87
195,179,168,158,153,134,120
174,174,168,165,153,139,126
