# MAP target
# Address: 0x2520
# Size: 10x16

98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98
98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98
111,111,111,111,111,111,111,111,111,107,104,104,104,104,104,104
123,123,123,123,123,123,123,123,120,117,114,111,107,107,107,107
136,136,136,136,136,136,136,136,133,127,117,114,111,111,111,111
149,149,149,149,149,149,149,149,145,139,120,117,114,114,114,114
174,174,174,174,174,174,174,174,174,151,123,120,117,117,117,117
206,206,206,206,206,206,206,206,180,173,127,123,120,120,120,120
219,229,232,232,232,232,232,219,200,181,143,127,123,123,123,123
219,229,232,232,232,232,232,219,200,181,143,127,123,123,123,123
