# Base WGDC - pilot map
# Address: 0x2480
# Size: 10x16

0,0,0,0,0,0,0,0,12,31,35,35,35,35,35,35
0,0,0,0,0,0,4,4,17,44,56,56,58,60,61,61
0,0,0,0,0,0,8,8,29,60,73,77,79,83,84,84
0,0,0,0,0,0,12,12,35,67,83,108,111,123,123,123
0,0,0,0,0,0,12,12,50,88,104,131,134,144,144,144
0,0,0,0,0,0,35,35,54,106,129,136,156,157,159,169
0,0,0,0,0,0,50,52,60,180,184,182,188,188,188,186
60,60,60,61,60,58,60,60,125,182,188,188,188,188,188,188
96,96,86,86,84,96,100,180,184,182,184,190,190,190,190,190
96,96,86,86,84,96,100,180,184,182,184,190,190,190,190,190
